,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
P08697,32285.63778,8122.9602,21057.08948,28195.00836,6415.67434,2371.170707,11842.511,533.5198858,5485.05324,1493.950322
P01023,1586128.115,557592.9547,2227925.847,1698999.019,182332.123,29780.95682,148761.201,58122.39913,90964.8916,27173.62055
P35858,23613.6435,19811.27768,31105.97643,46050.53086,5151.023385,2586.03562,3540.082296,1458.510826,1999.446408,1083.582283
P04114,1328221.104,290830.1426,1056434.322,2034012.91,484037.9587,59582.405,103380.616,24617.76255,32151.50276,27192.16353
P05090,56093.22735,37558.15737,64314.88473,154763.2564,34344.52885,3543.093102,8496.8645,3916.508805,10004.68441,2269.62577
P02649,578704.001,449671.7377,669423.7285,1127525.145,362902.2573,18196.70598,56392.9316,13675.86658,27029.09463,19403.51985
P04003,376437.204,194782.0582,253770.6908,318259.607,103882.2363,13024.78198,48889.72831,4356.559893,9006.1039,13180.04572
P20851,6920.09643,6690.84565,6693.086715,4384.494298,3154.543233,569.4981593,1796.421266,147.2966499,252.8432048,507.4813065
P40121,4252.067749,2934.013656,7809.298483,19943.97517,4045.412834,1705.336107,4909.827965,2671.572998,5985.11633,314.8197062
P07858,14182.24203,5578.26784,25289.3641,158055.9644,11198.42174,3576.05108,14862.51085,5131.744358,7883.57487,2373.974343
P07339,87063.60385,60170.12553,136373.6422,386736.4463,87057.61965,13809.83464,56864.8429,21451.66866,34099.42294,10641.41677
Q96IY4,7381.36312,6544.522467,8515.279023,10010.88509,2673.459263,680.1932842,2210.472308,798.4593343,1275.389056,808.915813
P31146,4084.744128,2087.857354,2970.144175,14053.83273,2805.488533,567.2563787,1693.980293,839.6974463,626.440532,209.7790185
O95967,18276.12897,9420.30813,16435.9215,29202.68229,11075.87419,2619.815708,9567.25772,1517.172703,7677.37429,3806.189522
P02671,2501698.002,692494.4757,1302238.347,1316126,376644.4116,54787.05597,353137.3303,47539.94203,101540.2618,94427.36885
P02675,2895006.193,741958.367,2410971.398,1854541.182,432555.3195,60670.53363,339965.1536,57971.19078,92487.7508,92827.00307
P02679,2553279.404,607056.8457,1966432.203,1579351.201,326801.6206,49049.47195,289573.7628,45377.77873,81659.1841,74922.51218
P00738,1128343.171,214037.4517,522334.5998,440076.6402,45422.21252,14287.88484,66872.0557,35479.23965,44268.16985,21874.10668
Q92743,150669.9203,112978.2254,170041.4719,131369.715,117895.8137,12638.02268,34318.02814,12247.66317,51977.78255,23677.61853
P01871,266116.8355,20653.91754,185928.7797,272240.6632,58775.32695,5506.105137,47803.77503,3584.101818,10021.87086,5641.259878
P01591,71904.47455,53387.27703,154758.2144,108842.7827,15404.93779,1569.994893,10186.73415,1011.023074,4038.48421,2205.658382
P19823,112043.8321,62427.92733,103192.7138,189293.6167,26150.26381,6665.536383,26529.26277,8169.910575,11457.39934,5233.940212
P61626,31401.59702,28426.49353,25877.09723,58418.1669,17478.33927,3267.686615,15935.45871,3764.333658,9850.07997,4665.79264
Q96PD5,19111.16739,16262.28845,15933.9583,33174.63091,7275.814315,1475.624152,7278.580985,918.379926,598.8097275,2123.73855
P00747,274695.4674,145334.3552,217473.804,372981.7331,93507.53855,20230.99608,68809.40005,22776.38524,40611.17328,19532.25777
